Step,Actual_Displacement,Predicted_Displacement,Residual
391,1.213,1.1801586829440152,0.03284131705598492
392,1.289,1.1821587354236973,0.10684126457630261
393,1.415,1.1841587876416362,0.23084121235836386
394,1.049,1.186158839599137,-0.137158839599137
395,1.339,1.1881588912974985,0.15084110870250145
396,1.514,1.1901589427380135,0.32384105726198653
397,1.455,1.192158993921968,0.2628410060780322
398,1.654,1.1950404840410052,0.45895951595899476
399,1.53,1.1970474389426176,0.33295256105738247
400,1.074,1.199054683524232,-0.12505468352423188
401,1.316,1.201062231937172,0.11493776806282807
402,1.545,1.2030700991636698,0.3419299008363301
403,1.125,1.2050783010754662,-0.08007830107546621
404,1.569,1.2070868544972448,0.3619131455027551
405,1.359,1.2090957772753521,0.14990422272464787
406,1.435,1.211105088352307,0.22389491164769315
407,1.863,1.2131148078476501,0.6498851921523499
408,1.11,1.2151249571457525,-0.10512495714575243
409,1.806,1.2171355589912558,0.5888644410087442
410,1.554,1.2191466375929039,0.3348533624070962
411,1.588,1.2211582187366024,0.3668417812633977
412,1.291,1.2231703299086316,0.06782967009136831
413,1.287,1.2251830004300541,0.061816999569945796
414,1.406,1.2271962616034653,0.17880373839653463
415,1.452,1.2292101468733716,0.22278985312662836
416,1.269,1.231224692001635,0.037775307998364926
417,1.677,1.2332399352595786,0.4437600647404214
418,1.572,1.2352559176385527,0.33674408236144737
419,1.385,1.237272683080961,0.14772731691903895
420,1.564,1.2392902787340048,0.3247097212659953
421,1.346,1.2413087552286624,0.10469124477133773
422,1.62,1.2433281669867466,0.37667183301325347
423,1.481,1.2453485725592337,0.2356514274407664
424,1.44,1.2473700349994559,0.19262996500054408
425,1.419,1.2493926222752232,0.16960737772477685
426,1.591,1.2514164077244507,0.33958359227554924
427,1.506,1.2534414705594779,0.25255852944052215
428,1.395,1.2554678964259502,0.13953210357404977
429,1.662,1.2574957780229175,0.40450422197708247
430,1.419,1.2595252157917094,0.15947478420829064
431,1.605,1.2615563186821857,0.34344368131781433
432,1.502,1.263589205006145,0.23841079499385498
433,1.397,1.265624003389063,0.13137599661093713
434,1.545,1.267660853832908,0.277339146167092
435,1.645,1.2696999089046217,0.3753000910953783
436,1.587,1.2717413350669788,0.3152586649330211
437,1.492,1.2737853141710025,0.2182146858289975
438,1.489,1.2758320451319756,0.21316795486802453
439,1.797,1.2778817458144263,0.5191182541855737
440,1.524,1.2799346551553463,0.2440653448446537
441,1.651,1.2819910355594417,0.3690089644405583
442,1.331,1.2840511756055277,0.04694882439447223
443,1.649,1.2861153931094012,0.36288460689059887
444,1.065,1.2881840385958345,-0.22318403859583458
445,1.444,1.2902574992409384,0.1537425007590616
446,1.622,1.2923362033562757,0.32966379664372436
447,1.81,1.2944206254980881,0.5155793745019119
